epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3172.88,0.73065,0.58785,0.91887,0.55566,0.45936,0.56571,0.40488,1.21805,1.87005,1.18467,9.91162e-05,9.91162e-05,9.91162e-05
88,3179.1,0.69924,0.58939,0.92077,0.51876,0.53869,0.57528,0.40477,1.2174,1.87688,1.17669,9.25129e-05,9.25129e-05,9.25129e-05
89,3185.38,0.73321,0.58198,0.91658,0.51296,0.56207,0.58907,0.41556,1.20191,1.76392,1.15322,8.59096e-05,8.59096e-05,8.59096e-05
90,3191.72,0.70303,0.56178,0.91304,0.53926,0.54391,0.59293,0.42301,1.20734,1.77906,1.14968,7.93063e-05,7.93063e-05,7.93063e-05
91,3211.46,0.68769,0.55173,0.90473,0.54489,0.54421,0.57521,0.40635,1.22635,1.79457,1.17099,7.2703e-05,7.2703e-05,7.2703e-05
92,3217.58,0.70297,0.543,0.9036,0.55278,0.52773,0.5649,0.39721,1.21933,1.81698,1.17174,6.60997e-05,6.60997e-05,6.60997e-05
93,3223.65,0.67887,0.54105,0.89612,0.54068,0.53375,0.56646,0.3943,1.22324,1.80102,1.18839,5.94964e-05,5.94964e-05,5.94964e-05
94,3229.77,0.67888,0.52384,0.8937,0.52598,0.54767,0.57475,0.40038,1.21793,1.76597,1.18704,5.28931e-05,5.28931e-05,5.28931e-05
95,3235.88,0.67335,0.52946,0.90444,0.52687,0.55444,0.58008,0.40515,1.21771,1.74806,1.17803,4.62898e-05,4.62898e-05,4.62898e-05
96,3241.95,0.67931,0.51755,0.90287,0.56106,0.50137,0.562,0.39622,1.2169,1.81308,1.18022,3.96865e-05,3.96865e-05,3.96865e-05
97,3248.04,0.66798,0.51249,0.88878,0.55832,0.50799,0.56114,0.39545,1.21013,1.87497,1.1792,3.30832e-05,3.30832e-05,3.30832e-05
98,3254.14,0.64573,0.50765,0.88705,0.56826,0.49991,0.55669,0.39243,1.22241,1.87819,1.18609,2.64799e-05,2.64799e-05,2.64799e-05
99,3260.24,0.65336,0.50644,0.89445,0.54294,0.5445,0.56524,0.39506,1.21929,1.87964,1.1859,1.98766e-05,1.98766e-05,1.98766e-05
100,3266.39,0.66451,0.52565,0.89967,0.57294,0.51073,0.5622,0.39407,1.22157,1.87949,1.18661,1.32733e-05,1.32733e-05,1.32733e-05
